date,product_id,product_name,region,units_sold,revenue,price,promotion_flag
2014-01-01,SKU000,Product A0,South,41,10822.77,263.97,1
2014-01-01,SKU000,Product A0,East,9,2909.88,323.32,0
2014-01-01,SKU000,Product A0,West,74,21727.14,293.61,1
2014-01-01,SKU001,Product A1,North,45,12609.0,280.2,1
2014-01-01,SKU002,Product A2,South,14,1671.18,119.37,0
2014-01-01,SKU002,Product A2,East,14,1671.18,119.37,0
2014-01-01,SKU003,Product A3,South,28,9564.24,341.58,0
2014-01-01,SKU003,Product A3,West,7,2055.83,293.69,1
2014-01-01,SKU004,Product A4,East,11,578.6,52.6,0
2014-01-01,SKU004,Product A4,West,45,2367.0,52.6,0
2014-01-01,SKU005,Product A5,South,24,613.68,25.57,0
2014-01-01,SKU005,Product A5,West,18,460.26,25.57,0
2014-01-01,SKU006,Product A6,North,14,1246.42,89.03,1
2014-01-01,SKU006,Product A6,South,21,2459.73,117.13,0
2014-01-01,SKU006,Product A6,East,16,1874.08,117.13,0
2014-01-01,SKU006,Product A6,West,45,4293.9,95.42,1
2014-01-01,SKU007,Product A7,North,62,16247.72,262.06,1
2014-01-01,SKU007,Product A7,East,15,4574.85,304.99,0
2014-01-01,SKU007,Product A7,West,39,10084.62,258.58,1
2014-01-01,SKU008,Product A8,North,7,752.01,107.43,0
2014-01-01,SKU008,Product A8,South,39,4189.77,107.43,0
2014-01-01,SKU008,Product A8,East,7,752.01,107.43,0
2014-01-01,SKU008,Product A8,West,39,4189.77,107.43,0
2014-01-01,SKU009,Product A9,North,31,6682.36,215.56,0
2014-01-01,SKU009,Product A9,South,31,5489.79,177.09,1
2014-01-01,SKU009,Product A9,West,15,2676.9,178.46,1
2014-01-01,SKU010,Product B0,North,16,4779.84,298.74,0
2014-01-01,SKU010,Product B0,South,10,2987.4,298.74,0
2014-01-01,SKU010,Product B0,West,49,12396.02,252.98,1
2014-01-01,SKU011,Product B1,North,7,2672.74,381.82,0
2014-01-01,SKU011,Product B1,South,35,13363.7,381.82,0
2014-01-01,SKU012,Product B2,North,15,5281.35,352.09,0
2014-01-01,SKU012,Product B2,West,61,21477.49,352.09,0
2014-01-01,SKU013,Product B3,South,16,1852.8,115.8,1
2014-01-01,SKU013,Product B3,East,23,2767.59,120.33,1
2014-01-01,SKU014,Product B4,South,52,21173.88,407.19,1
2014-01-01,SKU014,Product B4,East,37,13493.16,364.68,1
2014-01-01,SKU015,Product B5,South,41,2017.61,49.21,1
2014-01-01,SKU016,Product B6,South,24,1377.36,57.39,0
2014-01-01,SKU017,Product B7,East,21,6422.43,305.83,0
2014-01-01,SKU017,Product B7,West,33,10092.39,305.83,0
2014-01-01,SKU018,Product B8,South,27,8658.9,320.7,1
2014-01-01,SKU018,Product B8,East,31,9674.17,312.07,1
2014-01-01,SKU018,Product B8,West,29,9020.45,311.05,1
2014-01-01,SKU019,Product B9,North,48,3181.92,66.29,1
2014-01-01,SKU019,Product B9,East,45,3202.2,71.16,0
2014-01-01,SKU019,Product B9,West,31,1669.04,53.84,1
2014-01-01,SKU020,Product C0,North,52,2527.72,48.61,0
2014-01-01,SKU020,Product C0,East,29,1409.69,48.61,0
